[cnn] Connecting to 192.168.2.99:5005 ...
[cnn] Connected. Press 'q' in the preview window to quit.
  Frame     1  -> Priority road  (total 247.937 ms, hw 239.659 ms, 3041 ms RTT)
  Frame    73  -> Priority road  (total 246.881 ms, hw 239.525 ms, 493 ms RTT)
  Frame    74  -> Priority road  (total 246.885 ms, hw 239.485 ms, 493 ms RTT)
  Frame    75  -> Priority road  (total 247.076 ms, hw 239.596 ms, 490 ms RTT)
  Frame    76  -> Priority road  (total 246.953 ms, hw 239.478 ms, 491 ms RTT)
  Frame    77  -> Speed limit (30km/h)  (total 246.846 ms, hw 239.496 ms, 491 ms RTT)
  Frame    78  -> Speed limit (30km/h)  (total 248.668 ms, hw 239.632 ms, 493 ms RTT)
  Frame    79  -> Yield  (total 246.897 ms, hw 239.485 ms, 498 ms RTT)
  Frame    80  -> No passing  (total 246.933 ms, hw 239.473 ms, 493 ms RTT)
  Frame    81  -> Speed limit (20km/h)  (total 247.019 ms, hw 239.581 ms, 490 ms RTT)
  Frame    82  -> Speed limit (20km/h)  (total 246.969 ms, hw 239.499 ms, 491 ms RTT)
  Frame    83  -> Yield  (total 247.006 ms, hw 239.56 ms, 491 ms RTT)
  Frame    84  -> Yield  (total 246.91 ms, hw 239.514 ms, 492 ms RTT)
  Frame    85  -> Yield  (total 246.849 ms, hw 239.493 ms, 491 ms RTT)
  Frame    86  -> Yield  (total 246.966 ms, hw 239.497 ms, 492 ms RTT)
  Frame    87  -> Speed limit (70km/h)  (total 246.92 ms, hw 239.563 ms, 491 ms RTT)
  Frame    88  -> Speed limit (30km/h)  (total 246.934 ms, hw 239.493 ms, 491 ms RTT)
  Frame    89  -> Speed limit (30km/h)  (total 246.952 ms, hw 239.54 ms, 491 ms RTT)
  Frame    90  -> Speed limit (30km/h)  (total 246.846 ms, hw 239.482 ms, 491 ms RTT)
  Frame    91  -> Speed limit (30km/h)  (total 246.972 ms, hw 239.508 ms, 492 ms RTT)
  Frame    92  -> Speed limit (30km/h)  (total 246.858 ms, hw 239.504 ms, 493 ms RTT)
  Frame    93  -> Speed limit (30km/h)  (total 247.019 ms, hw 239.564 ms, 491 ms RTT)
  Frame    94  -> Speed limit (30km/h)  (total 247.033 ms, hw 239.527 ms, 492 ms RTT)
  Frame    95  -> Go straight or left  (total 247.005 ms, hw 239.565 ms, 491 ms RTT)
  Frame    96  -> Go straight or left  (total 247.045 ms, hw 239.581 ms, 490 ms RTT)
  Frame    97  -> Priority road  (total 246.885 ms, hw 239.528 ms, 489 ms RTT)
  Frame    98  -> Priority road  (total 246.962 ms, hw 239.49 ms, 491 ms RTT)
  Frame    99  -> Priority road  (total 246.959 ms, hw 239.551 ms, 488 ms RTT)
  Frame   100  -> Priority road  (total 247.167 ms, hw 239.523 ms, 489 ms RTT)
  Frame   101  -> Yield  (total 247.011 ms, hw 239.566 ms, 489 ms RTT)
  Frame   102  -> Yield  (total 246.974 ms, hw 239.566 ms, 490 ms RTT)
  Frame   103  -> Priority road  (total 247.194 ms, hw 239.688 ms, 514 ms RTT)
  Frame   104  -> Yield  (total 246.937 ms, hw 239.525 ms, 490 ms RTT)
  Frame   105  -> Yield  (total 246.951 ms, hw 239.544 ms, 488 ms RTT)
